"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"843","RPL21",-1.18062038758593,9.54354175614303,-10.6673618181983,1.15560124712628e-25,7.48643357387375e-25,46.8119271116527
"844","NDUFC2",-1.08644647375174,6.50728094899529,-10.6344735863068,1.60521071140998e-25,1.03385858128175e-24,46.486269609313
"845","PTGDS",-1.52190622572343,7.67442806776816,-10.6130701255922,1.98708403235895e-25,1.27331768827175e-24,46.2747985244565
"846","C1orf115",-1.15156367638268,8.38449556525585,-10.6080378475221,2.08922302634972e-25,1.33634714083259e-24,46.2251317253633
"847","ERBB3",1.01527089018616,9.7422287709863,10.6046711941474,2.16044576028248e-25,1.38040620362558e-24,46.1919153759716
"848","ANXA9",1.10586165787727,6.78517129047054,10.5974190101844,2.3221541258764e-25,1.47998622955856e-24,46.1203941384086
"849","HIST1H2BK",1.20605716893163,8.59847111527908,10.569967692119,3.05060305143063e-25,1.9280945198542e-24,45.8500503158982
"850","IFI6",1.68894099473938,9.330954668675,10.550185106268,3.71207666348009e-25,2.33304150214317e-24,45.655603871644
"851","CCL2",-1.26413111134814,9.0484763767991,-10.5465923767657,3.84663836075438e-25,2.41675474416704e-24,45.6203240234063
"852","FAIM3",1.03277717510848,7.60182291422319,10.5226659029231,4.87479120980595e-25,3.05295882920071e-24,45.3856355413048
"853","MAL2",1.03560708915032,9.4160810211061,10.5071685654647,5.68176319077454e-25,3.55080084070807e-24,45.2338717754935
"854","FBP1",1.14549633792199,9.61840765130257,10.4484090891075,1.01384586760387e-24,6.27612111111029e-24,44.6602024103548
"855","C1S",-1.19191104646928,9.86433693649088,-10.4416529130919,1.0834566896121e-24,6.69064769988814e-24,44.5944201191022
"856","AK4",-1.16814666301772,8.23507223953806,-10.4410520615956,1.08987226983837e-24,6.72791656696732e-24,44.5885716413071
"857","FABP5",-1.18727971918624,8.12849246055627,-10.4115842994936,1.45536348446097e-24,8.91258953814985e-24,44.3021002405688
"858","CEACAM6",2.53910219303161,8.51398143796867,10.3737666769913,2.10724125420531e-24,1.28027031335882e-23,43.9354830252945
"859","COLEC12",-1.09162670210125,7.87356583888766,-10.3377915882718,2.99339676155498e-24,1.80748429924416e-23,43.58780145149
"860","ANKRD20A4",-1.03674361867533,7.44934518599777,-10.3295680933719,3.24301845248649e-24,1.95554123254947e-23,43.5084725470067
"861","HOPX",1.12813012134926,8.01212961012947,10.3292993497801,3.25151528553434e-24,1.95999656918747e-23,43.5058810049831
"862","TFAP2A",1.04223426926849,10.12239664189,10.2650262149748,6.06934519824231e-24,3.60814921600382e-23,42.8877657388627
"863","TTYH1",-1.17641528365207,5.98275260534066,-10.2445745051978,7.39758180968015e-24,4.37278181437176e-23,42.6917848361153
