name,logFC,AveExpr,t,P.Value,adj.P.Val,B
FIGLA,0.22231856287345614,0.36166252185971315,18.938554896559157,5.083041883569307e-73,2.1799172027256725e-71,154.19118171265862
MIR647,0.21536898888602213,0.7661514636318107,18.919280473979843,6.892864306192826e-73,2.946753851026031e-71,153.88730820323346
PAX3,0.20596289557106517,0.24756310615682273,18.914033673949277,7.488450353391843e-73,3.1813002880616385e-71,153.80462470908938
PRKCB,0.23408474165871795,0.23632117659130292,18.87802770143039,1.3219329474613326e-72,5.563613448445957e-71,153.23762423790913
MIR4285,0.24706325975068863,0.4412652658748023,18.855706617835803,1.8795860249478422e-72,7.861774632744801e-71,152.88648676511374
ITPRIPL1,0.26004914113717703,0.2468381419795068,18.84468042407628,2.236271072360221e-72,9.296302322891324e-71,152.7131337470095
ALS2CR11,0.30315502033591935,0.46325172579399043,18.83247179987456,2.7104726973631667e-72,1.1198879876422451e-70,152.52126960970529
DLEU7,0.25050258433158296,0.3600899930517184,18.81979538350377,3.3092372821189427e-72,1.3631241230175047e-70,152.3221417839843
CCDC178,0.20409799465452097,0.22508794200439142,18.750213823306463,9.882011230307288e-72,4.009611263267197e-70,151.23071559967107
HSPA7,0.2981823451311106,0.4369030637116288,18.74609680298155,1.0541941243064318e-71,4.2646085888360486e-70,151.16622264606403
